new_review_order,new_question_id,new_job_id,content_id,new_title,existing_count,existing_review_orders,existing_question_ids,existing_titles,exact_question_id_duplicate
307,EMS2026-2-3-11-3-4-01,JOB-2-3-11-3-4-01,2.3.11.3.4,Mpox Lesion Suspicion,1,300,EMS2026-2-3-11-3-4-02,Suspected MPox Source Control,no
311,EMS2026-2-1-1-6-01,JOB-2-1-1-6-01,2.1.1.6,Withholding Resuscitation With Two Independent Grounds,1,184,EMS2026-2-1-1-6-03,POLST As Actionable Orders,no
312,EMS2026-4-1-6-1-05,JOB-4-1-6-1-05,4.1.6.1,Resource Allocation Across Jurisdictions,1,260,EMS2026-4-1-6-1-04,Likelihood Of Benefit In Scarce Antidote Allocation,no
314,EMS2026-2-1-2-2-3-05,JOB-2-1-2-2-3-05,2.1.2.2.3,Airway Dashboard Attempt Definitions,1,116,EMS2026-2-1-2-2-3-01,Direct Laryngoscopy Blade Technique,no
315,EMS2026-2-1-2-1-2-03,JOB-2-1-2-1-2-03,2.1.2.1.2,Airway Adjunct During Bag-Mask Ventilation,1,280,EMS2026-2-1-2-1-2-04,Oxygen Saturation Is Not Ventilation,no
319,EMS2026-2-4-4-1-04,JOB-2-4-4-1-04,2.4.4.1,Air Transport Cuff Pressure,1,284,EMS2026-2-4-4-1-06,Fixed-Wing Motion And Fracture Pain,no
323,EMS2026-2-3-7-1-4-01,JOB-2-3-7-1-4-01,2.3.7.1.4,Placenta Previa Versus Abruption,1,132,EMS2026-2-3-7-1-4-02,Placenta Previa Exam Avoidance,no
324,EMS2026-2-4-9-6-04,JOB-2-4-9-6-04,2.4.9.6,Housing Instability Program Metrics,1,51,EMS2026-2-4-9-6-01,Housing Status Documentation,no
326,EMS2026-2-1-1-5-02,JOB-2-1-1-5-02,2.1.1.5,Mechanical CPR Deployment Decision,1,298,EMS2026-2-1-1-5-04,Mechanical CPR At A Staffed Arrest,no
331,EMS2026-2-3-2-6-2-03,JOB-2-3-2-6-2-03,2.3.2.6.2,Low-Flow Ventricular Assist Device Alarm,1,96,EMS2026-2-3-2-6-2-02,LVAD Alarm Troubleshooting,no
338,EMS2026-3-2-3-1-02,JOB-3-2-3-1-02,3.2.3.1,Alternative Hypothesis,1,178,EMS2026-3-2-3-1-08,Confidence Interval Interpretation,no
339,EMS2026-2-1-2-2-1-05,JOB-2-1-2-2-1-05,2.1.2.2.1,Handoff After Supraglottic Airway Placement,1,142,EMS2026-2-1-2-2-1-03,Continuous Tube Confirmation,no
