review_order,question_id,job_id,concept_key,content_id,core_content_code,domain,topic_group,topic,title,source_label,batch_id,original_ordinal,is_paramedic_next_action_pilot,intended_pool_state
1,EMS2026-4-1-3-5-02,JOB-4-1-3-5-02,JOB-4-1-3-5-02,4.1.3.5,4.1.3.5,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Disaster Management,IS-100 and IS-200,ICS-200 For Initial Incident Command,first50_reviewed_website_push,20260705_first50_reviewed_website_push,1,False,voting
2,EMS2026-2-1-2-4-01,JOB-2-1-2-4-01,JOB-2-1-2-4-01,2.1.2.4,2.1.2.4,CLINICAL ASPECTS OF EMS MEDICINE,Resuscitation,Airway management in bariatric patients,Bariatric Airway Reserve,first50_reviewed_website_push,20260705_first50_reviewed_website_push,2,False,voting
3,EMS2026-3-1-2-1-02,JOB-3-1-2-1-02,JOB-3-1-2-1-02,3.1.2.1,3.1.2.1,QUALITY MANAGEMENT AND RESEARCH,Quality Management,Clinical decision making,System 1 Reasoning Trap,first50_reviewed_website_push,20260705_first50_reviewed_website_push,3,False,voting
4,EMS2026-2-3-3-1-1-05,JOB-2-3-3-1-1-05,JOB-2-3-3-1-1-05,2.3.3.1.1,2.3.3.1.1,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Prehospital stroke identification and severity scales,Stroke Mimic Glucose Check,first50_reviewed_website_push,20260705_first50_reviewed_website_push,4,False,voting
5,EMS2026-2-2-1-1-02,JOB-2-2-1-1-02,JOB-2-2-1-1-02,2.2.1.1,2.2.1.1,CLINICAL ASPECTS OF EMS MEDICINE,Trauma,Goal of minimizing scene time for severe trauma,Penetrating Trauma Fluid Timing,first50_reviewed_website_push,20260705_first50_reviewed_website_push,5,False,voting
6,EMS2026-2-1-2-1-3-03,JOB-2-1-2-1-3-03,JOB-2-1-2-1-3-03,2.1.2.1.3,2.1.2.1.3,CLINICAL ASPECTS OF EMS MEDICINE,RESUSCITATION,Bag-valve-mask ventilation,Correcting A Failing BVM Seal,paramedic_next_action_50,20260706_paramedic_next_action_50,1,True,voting
7,EMS2026-1-4-4-3-04,JOB-1-4-4-3-04,JOB-1-4-4-3-04,1.4.4.3,1.4.4.3,MEDICAL OVERSIGHT OF EMS,EMS System Management,Public access defibrillation (PAD),Public Access Defibrillation Law Variation,first50_reviewed_website_push,20260705_first50_reviewed_website_push,6,False,voting
8,EMS2026-1-4-4-5-06,JOB-1-4-4-5-06,JOB-1-4-4-5-06,1.4.4.5,1.4.4.5,MEDICAL OVERSIGHT OF EMS,EMS System Management,"Integration of EMS, community public resources, mental health resources, and social services",Coalition Coordination During Surge,first50_reviewed_website_push,20260705_first50_reviewed_website_push,7,False,voting
9,EMS2026-3-1-1-07,JOB-3-1-1-07,JOB-3-1-1-07,3.1.1,3.1.1,QUALITY MANAGEMENT AND RESEARCH,Quality Management,Quality Improvement Methodology Frameworks,PDSA Small Test Of Change,first50_reviewed_website_push,20260705_first50_reviewed_website_push,8,False,voting
10,EMS2026-4-4-4-04,JOB-4-4-4-04,JOB-4-4-4-04,4.4.4,4.4.4,DISASTER MANAGEMENT AND SPECIAL OPERATIONS,Tactical,Phases of care,Tactical Field Care Tradeoff,first50_reviewed_website_push,20260705_first50_reviewed_website_push,9,False,voting
11,EMS2026-2-3-11-3-1-02,JOB-2-3-11-3-1-02,JOB-2-3-11-3-1-02,2.3.11.3.1,2.3.11.3.1,CLINICAL ASPECTS OF EMS MEDICINE,Medical Emergencies,Viral hemorrhagic fevers,Stable Returned Traveler With Suspected VHF PPE,first50_reviewed_website_push,20260705_first50_reviewed_website_push,10,False,voting
12,EMS2026-2-1-2-2-6-03,JOB-2-1-2-2-6-03,JOB-2-1-2-2-6-03,2.1.2.2.6,2.1.2.2.6,CLINICAL ASPECTS OF EMS MEDICINE,RESUSCITATION,Supraglottic/extraglottic airways,Airway Choice After CPR Pauses,paramedic_next_action_50,20260706_paramedic_next_action_50,2,True,voting
13,EMS2026-1-1-1-1-1-05,JOB-1-1-1-1-1-05,JOB-1-1-1-1-1-05,1.1.1.1.1,1.1.1.1.1,MEDICAL OVERSIGHT OF EMS,Medical Oversight,Provision of direct patient care,Physician Field Procedure Governance,first50_reviewed_website_push,20260705_first50_reviewed_website_push,11,False,voting
14,EMS2026-2-2-7-1-03,JOB-2-2-7-1-03,JOB-2-2-7-1-03,2.2.7.1,2.2.7.1,CLINICAL ASPECTS OF EMS MEDICINE,Trauma,Severe head injury management,Severe TBI Airway Quality Dependency,first50_reviewed_website_push,20260705_first50_reviewed_website_push,12,False,voting
