review_order,question_id,job_id,content_id,core_content_code,title,source_label,topic,topic_group,domain
1,EMS2026-4-1-3-5-02,JOB-4-1-3-5-02,4.1.3.5,4.1.3.5,ICS-200 For Initial Incident Command,first50_reviewed_website_push,IS-100 and IS-200,Disaster Management,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
2,EMS2026-2-1-2-4-01,JOB-2-1-2-4-01,2.1.2.4,2.1.2.4,Bariatric Airway Reserve,first50_reviewed_website_push,Airway management in bariatric patients,Resuscitation,CLINICAL ASPECTS OF EMS MEDICINE
3,EMS2026-3-1-2-1-02,JOB-3-1-2-1-02,3.1.2.1,3.1.2.1,System 1 Reasoning Trap,first50_reviewed_website_push,Clinical decision making,Quality Management,QUALITY MANAGEMENT AND RESEARCH
4,EMS2026-2-3-3-1-1-05,JOB-2-3-3-1-1-05,2.3.3.1.1,2.3.3.1.1,Stroke Mimic Glucose Check,first50_reviewed_website_push,Prehospital stroke identification and severity scales,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
5,EMS2026-2-2-1-1-02,JOB-2-2-1-1-02,2.2.1.1,2.2.1.1,Penetrating Trauma Fluid Timing,first50_reviewed_website_push,Goal of minimizing scene time for severe trauma,Trauma,CLINICAL ASPECTS OF EMS MEDICINE
6,EMS2026-2-1-2-1-3-03,JOB-2-1-2-1-3-03,2.1.2.1.3,2.1.2.1.3,Correcting A Failing BVM Seal,paramedic_next_action_50,Bag-valve-mask ventilation,RESUSCITATION,CLINICAL ASPECTS OF EMS MEDICINE
7,EMS2026-1-4-4-3-04,JOB-1-4-4-3-04,1.4.4.3,1.4.4.3,Public Access Defibrillation Law Variation,first50_reviewed_website_push,Public access defibrillation (PAD),EMS System Management,MEDICAL OVERSIGHT OF EMS
8,EMS2026-1-4-4-5-06,JOB-1-4-4-5-06,1.4.4.5,1.4.4.5,Coalition Coordination During Surge,first50_reviewed_website_push,"Integration of EMS, community public resources, mental health resources, and social services",EMS System Management,MEDICAL OVERSIGHT OF EMS
9,EMS2026-3-1-1-07,JOB-3-1-1-07,3.1.1,3.1.1,PDSA Small Test Of Change,first50_reviewed_website_push,Quality Improvement Methodology Frameworks,Quality Management,QUALITY MANAGEMENT AND RESEARCH
10,EMS2026-4-4-4-04,JOB-4-4-4-04,4.4.4,4.4.4,Tactical Field Care Tradeoff,first50_reviewed_website_push,Phases of care,Tactical,DISASTER MANAGEMENT AND SPECIAL OPERATIONS
11,EMS2026-2-3-11-3-1-02,JOB-2-3-11-3-1-02,2.3.11.3.1,2.3.11.3.1,Stable Returned Traveler With Suspected VHF PPE,first50_reviewed_website_push,Viral hemorrhagic fevers,Medical Emergencies,CLINICAL ASPECTS OF EMS MEDICINE
