job_id,question_id,content_id,topic,domain,original_job_status,roadmap_candidate_status,status_note
JOB-1-1-1-1-1-01,EMS2026-1-1-1-1-1-01,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-1-02,EMS2026-1-1-1-1-1-02,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-1-03,EMS2026-1-1-1-1-1-03,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-1-04,EMS2026-1-1-1-1-1-04,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-1-05,EMS2026-1-1-1-1-1-05,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-1-1-06,EMS2026-1-1-1-1-1-06,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-1-07,EMS2026-1-1-1-1-1-07,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-1-1-08,EMS2026-1-1-1-1-1-08,1.1.1.1.1,Provision of direct patient care,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-2-01,EMS2026-1-1-1-1-2-01,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-2-02,EMS2026-1-1-1-1-2-02,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-2-03,EMS2026-1-1-1-1-2-03,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-2-04,EMS2026-1-1-1-1-2-04,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-2-05,EMS2026-1-1-1-1-2-05,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-1-2-06,EMS2026-1-1-1-1-2-06,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-2-07,EMS2026-1-1-1-1-2-07,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-2-08,EMS2026-1-1-1-1-2-08,1.1.1.1.2,Physician directed care by radio or phone,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-3-01,EMS2026-1-1-1-1-3-01,1.1.1.1.3,Physician directed care in person,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-3-02,EMS2026-1-1-1-1-3-02,1.1.1.1.3,Physician directed care in person,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-3-03,EMS2026-1-1-1-1-3-03,1.1.1.1.3,Physician directed care in person,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-3-04,EMS2026-1-1-1-1-3-04,1.1.1.1.3,Physician directed care in person,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-1-3-05,EMS2026-1-1-1-1-3-05,1.1.1.1.3,Physician directed care in person,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-3-06,EMS2026-1-1-1-1-3-06,1.1.1.1.3,Physician directed care in person,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-3-07,EMS2026-1-1-1-1-3-07,1.1.1.1.3,Physician directed care in person,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-4-01,EMS2026-1-1-1-1-4-01,1.1.1.1.4,Telemedicine,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-4-02,EMS2026-1-1-1-1-4-02,1.1.1.1.4,Telemedicine,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-4-03,EMS2026-1-1-1-1-4-03,1.1.1.1.4,Telemedicine,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-4-04,EMS2026-1-1-1-1-4-04,1.1.1.1.4,Telemedicine,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,already_drafted_or_staged_on_website,Present in active live400 tracker after duplicate replacement.
JOB-1-1-1-1-4-05,EMS2026-1-1-1-1-4-05,1.1.1.1.4,Telemedicine,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-4-06,EMS2026-1-1-1-1-4-06,1.1.1.1.4,Telemedicine,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-1-4-07,EMS2026-1-1-1-1-4-07,1.1.1.1.4,Telemedicine,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
JOB-1-1-1-2-1-01,EMS2026-1-1-1-2-1-01,1.1.1.2.1,Development of medical protocols,MEDICAL OVERSIGHT OF EMS,ready_for_source_extraction,not_yet_generated_or_not_in_current_tracker,
