question_number,pilot_id,core_content_code,correct_answer,length_complexity_flag,option_architecture_flags,option_a_words,option_a_chars,option_a_complexity,option_b_words,option_b_chars,option_b_complexity,option_c_words,option_c_chars,option_c_complexity,option_d_words,option_d_chars,option_d_complexity
51,WEBX100-051,2.1.1.2,C,,,19,158,30,17,131,26,15,108,18,18,138,26
52,WEBX100-052,2.3.13.2.1,D,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,10,69,12,11,78,14,12,92,16,17,116,23
53,WEBX100-053,2.1.1.4,A,key_unique_most_complex,key_unique_most_complex,15,112,28,16,117,23,16,110,19,14,91,17
54,WEBX100-054,2.1.1.6,B,key_unique_longest_by_chars,key_unique_longest_by_chars,17,105,18,16,110,19,16,102,20,15,91,17
55,WEBX100-055,2.3.1.2,C,key_unique_most_complex,key_unique_most_complex,8,53,11,11,91,18,13,106,19,15,111,18
56,WEBX100-056,2.3.2.6.1,D,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,12,104,18,13,86,17,13,83,13,15,107,29
57,WEBX100-057,1.1.1.2.3,A,key_unique_longest_by_chars,key_unique_longest_by_chars,14,131,24,15,103,20,16,99,25,14,105,18
58,WEBX100-058,2.3.7.3.4,B,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,10,68,16,15,96,19,13,87,17,10,78,14
59,WEBX100-059,4.7.6.2,C,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,15,121,19,16,105,20,20,128,31,17,123,21
60,WEBX100-060,1.4.4.1,C,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,22,155,30,19,128,23,25,183,35,23,154,29
61,WEBX100-061,2.2.3.1,A,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,18,139,26,16,92,19,13,87,19,14,95,17
62,WEBX100-062,2.3.11.6.2,B,,,20,159,26,19,145,23,16,128,22,18,124,18
63,WEBX100-063,1.5.1,C,key_unique_longest_by_chars,key_unique_longest_by_chars,11,70,14,12,80,18,17,126,22,18,109,24
64,WEBX100-064,2.3.13.3.1,D,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,18,128,26,16,133,23,16,123,25,20,134,31
65,WEBX100-065,1.3.7,A,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,22,184,43,20,166,35,21,168,34,18,167,37
66,WEBX100-066,4.6.2.2,B,key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_chars;key_unique_most_complex,25,142,31,19,154,36,24,143,32,20,145,25
67,WEBX100-067,4.4.5.2,C,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,12,99,19,14,97,17,18,132,34,11,77,13
68,WEBX100-068,1.1.1.2.3,D,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,14,104,14,15,95,18,11,81,11,18,138,24
69,WEBX100-069,1.2.2.4,A,,,15,126,24,20,167,32,18,135,22,15,128,17
70,WEBX100-070,1.3.6,B,,,12,97,17,16,117,25,20,140,27,12,101,18
71,WEBX100-071,1.2.5.4,C,,,19,133,24,15,114,20,14,109,18,13,110,17
72,WEBX100-072,1.1.1.1.1,D,key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_chars;key_unique_most_complex,17,107,21,14,96,15,17,103,21,17,122,26
73,WEBX100-073,2.1.2.2.6,A,key_unique_most_complex,key_unique_most_complex,19,143,29,18,132,26,20,129,24,17,145,26
74,WEBX100-074,2.2.5.1.3,B,key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_chars;key_unique_most_complex,19,144,26,19,152,34,17,129,23,19,130,23
75,WEBX100-075,2.3.11.6.1,C,,,18,108,28,19,112,25,16,99,21,16,121,22
76,WEBX100-076,4.1.5.5,D,,,13,90,17,13,100,19,12,87,18,12,100,18
77,WEBX100-077,4.1.7.1,A,key_unique_longest_by_chars,key_unique_longest_by_chars,13,87,15,11,62,13,13,76,16,10,54,14
78,WEBX100-078,1.1.2.3,B,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,10,65,12,15,130,21,9,57,12,14,102,17
79,WEBX100-079,2.1.1.2,C,,,11,84,17,15,90,19,9,90,15,10,72,14
80,WEBX100-080,1.5.2,D,key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_chars;key_unique_most_complex,20,123,28,18,117,20,19,128,22,19,140,36
81,WEBX100-081,2.2.5.1.3,A,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_words;key_unique_longest_by_chars;key_unique_most_complex,25,207,50,23,175,28,22,156,30,22,156,32
82,WEBX100-082,4.7.2,B,key_unique_longest_by_chars;key_unique_most_complex,key_unique_longest_by_chars;key_unique_most_complex,18,129,25,16,149,31,14,130,23,17,147,28
