question_number,pilot_id,possible_unexpanded_acronyms,possible_unexpanded_acronym_count
51,WEBX100-051,,0
52,WEBX100-052,,0
53,WEBX100-053,,0
54,WEBX100-054,,0
55,WEBX100-055,,0
56,WEBX100-056,,0
57,WEBX100-057,,0
58,WEBX100-058,,0
59,WEBX100-059,,0
60,WEBX100-060,,0
61,WEBX100-061,,0
62,WEBX100-062,,0
63,WEBX100-063,,0
64,WEBX100-064,,0
65,WEBX100-065,,0
66,WEBX100-066,,0
67,WEBX100-067,,0
68,WEBX100-068,,0
69,WEBX100-069,,0
70,WEBX100-070,,0
71,WEBX100-071,,0
72,WEBX100-072,,0
73,WEBX100-073,,0
74,WEBX100-074,,0
75,WEBX100-075,,0
76,WEBX100-076,,0
77,WEBX100-077,,0
78,WEBX100-078,,0
79,WEBX100-079,,0
80,WEBX100-080,,0
81,WEBX100-081,,0
82,WEBX100-082,,0
83,WEBX100-083,,0
84,WEBX100-084,,0
85,WEBX100-085,,0
86,WEBX100-086,,0
87,WEBX100-087,,0
88,WEBX100-088,,0
89,WEBX100-089,,0
90,WEBX100-090,,0
91,WEBX100-091,,0
92,WEBX100-092,,0
93,WEBX100-093,,0
94,WEBX100-094,,0
95,WEBX100-095,,0
96,WEBX100-096,,0
97,WEBX100-097,,0
98,WEBX100-098,,0
99,WEBX100-099,,0
100,WEBX100-100,,0
