review_order,question_id,job_id,content_id,title,source_label,candidate_status,status_note
1,EMS2026-4-1-3-5-02,JOB-4-1-3-5-02,4.1.3.5,ICS-200 For Initial Incident Command,first50_reviewed_website_push,active_or_staged_candidate,
2,EMS2026-2-1-2-4-01,JOB-2-1-2-4-01,2.1.2.4,Bariatric Airway Reserve,first50_reviewed_website_push,active_or_staged_candidate,
3,EMS2026-3-1-2-1-02,JOB-3-1-2-1-02,3.1.2.1,System 1 Reasoning Trap,first50_reviewed_website_push,active_or_staged_candidate,
4,EMS2026-2-3-3-1-1-05,JOB-2-3-3-1-1-05,2.3.3.1.1,Stroke Mimic Glucose Check,first50_reviewed_website_push,active_or_staged_candidate,
5,EMS2026-2-2-1-1-02,JOB-2-2-1-1-02,2.2.1.1,Penetrating Trauma Fluid Timing,first50_reviewed_website_push,active_or_staged_candidate,
6,EMS2026-2-1-2-1-3-03,JOB-2-1-2-1-3-03,2.1.2.1.3,Correcting A Failing BVM Seal,paramedic_next_action_50,active_or_staged_candidate,
7,EMS2026-1-4-4-3-04,JOB-1-4-4-3-04,1.4.4.3,Public Access Defibrillation Law Variation,first50_reviewed_website_push,active_or_staged_candidate,
8,EMS2026-1-4-4-5-06,JOB-1-4-4-5-06,1.4.4.5,Coalition Coordination During Surge,first50_reviewed_website_push,active_or_staged_candidate,
9,EMS2026-3-1-1-07,JOB-3-1-1-07,3.1.1,PDSA Small Test Of Change,first50_reviewed_website_push,active_or_staged_candidate,
10,EMS2026-4-4-4-04,JOB-4-4-4-04,4.4.4,Tactical Field Care Tradeoff,first50_reviewed_website_push,active_or_staged_candidate,
11,EMS2026-2-3-11-3-1-02,JOB-2-3-11-3-1-02,2.3.11.3.1,Stable Returned Traveler With Suspected VHF PPE,first50_reviewed_website_push,active_or_staged_candidate,
12,EMS2026-2-1-2-2-6-03,JOB-2-1-2-2-6-03,2.1.2.2.6,Airway Choice After CPR Pauses,paramedic_next_action_50,active_or_staged_candidate,
13,EMS2026-1-1-1-1-1-05,JOB-1-1-1-1-1-05,1.1.1.1.1,Physician Field Procedure Governance,first50_reviewed_website_push,active_or_staged_candidate,
14,EMS2026-2-2-7-1-03,JOB-2-2-7-1-03,2.2.7.1,Severe TBI Airway Quality Dependency,first50_reviewed_website_push,active_or_staged_candidate,
15,EMS2026-2-2-1-2-05,JOB-2-2-1-2-05,2.2.1.2,Permissive Hypotension Boundary,first50_reviewed_website_push,active_or_staged_candidate,
16,EMS2026-1-1-2-5-03,JOB-1-1-2-5-03,1.1.2.5,Abandonment And Inadequate Assessment,first50_reviewed_website_push,active_or_staged_candidate,
17,EMS2026-4-2-5-1-03,JOB-4-2-5-1-03,4.2.5.1,Event Dispatch Responsibilities,first50_reviewed_website_push,active_or_staged_candidate,
