new_index,question_id,concept_key,content_id,topic_group,topic,title,content_hash,flags,best_existing_score,best_existing_source,best_existing_question_id,best_existing_title,best_existing_content_id
1,EMS2026-2-1-2-1-3-03,JOB-2-1-2-1-3-03,2.1.2.1.3,RESUSCITATION,Bag-valve-mask ventilation,Correcting A Failing BVM Seal,55542340eacd,none,,,,,
2,EMS2026-2-1-2-2-6-03,JOB-2-1-2-2-6-03,2.1.2.2.6,RESUSCITATION,Supraglottic/extraglottic airways,Airway Choice After CPR Pauses,e55acca225b9,none,,,,,
3,EMS2026-2-1-2-6-03,JOB-2-1-2-6-03,2.1.2.6,RESUSCITATION,Control of post-tonsillectomy hemorrhage,Post-Tonsillectomy Airway Priority,56fdf385f3ab,none,,,,,
4,EMS2026-2-1-3-1-03,JOB-2-1-3-1-03,2.1.3.1,RESUSCITATION,Recognition of shock and hypotension,Compensated Shock With Bleeding,f3c37c699d75,none,,,,,
5,EMS2026-2-1-3-2-03,JOB-2-1-3-2-03,2.1.3.2,RESUSCITATION,Management of hypotension and shock,Obstructive Shock From Chest Trauma,84f8a12455e8,none,,,,,
6,EMS2026-2-1-3-3-3-02,JOB-2-1-3-3-3-02,2.1.3.3.3,RESUSCITATION,Placement of intraosseous lines (adult and pediatric),Pediatric IO Site With Tibial Fracture,b97ea0a6c5f0,none,,,,,
7,EMS2026-2-1-4-03,JOB-2-1-4-03,2.1.4,RESUSCITATION,Altered Mental Status,Airway First In Altered Mental Status,411d66a0c2c9,none,,,,,
8,EMS2026-2-2-1-2-03,JOB-2-2-1-2-03,2.2.1.2,TRAUMA,Management and resuscitation of multi-trauma patient,Trauma Tension Pneumothorax Priority,b1c271bef331,none,,,,,
9,EMS2026-2-2-1-5-03,JOB-2-2-1-5-03,2.2.1.5,TRAUMA,Control of life-threatening hemorrhage,Junctional Hemorrhage Packing,69495e8b2e84,none,0.576,seed100,EMS2026-2-2-1-5-05,Anticoagulants Without Losing Hemorrhage Priorities,2.2.1.5
10,EMS2026-2-2-6-02,JOB-2-2-6-02,2.2.6,TRAUMA,Facial and Ocular Trauma,Alkali Eye Burn Irrigation,924390d0bed1,none,,,,,
11,EMS2026-2-2-8-2-03,JOB-2-2-8-2-03,2.2.8.2,TRAUMA,Crush injuries,Crush Release Preparation,e979e7393e51,none,,,,,
12,EMS2026-2-3-1-2-02,JOB-2-3-1-2-02,2.3.1.2,MEDICAL EMERGENCIES,Use of capnometry and capnography waveforms in diagnosis and management,Capnography Drop During Ventilation,e796496d78ca,none,,,,,
13,EMS2026-2-3-1-3-02,JOB-2-3-1-3-02,2.3.1.3,MEDICAL EMERGENCIES,Management of respiratory distress or shortness of breath,Ventilatory Support In COPD Exhaustion,e6fd472bcac8,none,,,,,
14,EMS2026-2-3-1-4-01,JOB-2-3-1-4-01,2.3.1.4,MEDICAL EMERGENCIES,Non-invasive positive pressure ventilation,CPAP For Pulmonary Edema,4d25acf4510e,none,,,,,
15,EMS2026-2-3-1-6-2-01,JOB-2-3-1-6-2-01,2.3.1.6.2,MEDICAL EMERGENCIES,Management and related devices,Recurrent Tension Pneumothorax,6a96cb8cda0c,none,,,,,
