content_id,question_count,question_ids,review_orders,titles,source_labels,topics,topic_groups
1.1.1.1.1,2,EMS2026-1-1-1-1-1-05|EMS2026-1-1-1-1-1-07,13|206,Physician Field Procedure Governance|Physician Field Care Feedback Loop,first50_reviewed_website_push|second50_qi_review,Provision of direct patient care,Medical Oversight
1.1.1.1.2,1,EMS2026-1-1-1-1-2-05,247,Online Orders Within A Written Exception Pathway,uncovered50_v3_source_hardened,Physician directed care by radio or phone,MEDICAL OVERSIGHT
1.1.1.1.3,1,EMS2026-1-1-1-1-3-04,259,Physician Field Supervision Without Role Confusion,uncovered50_v3_source_hardened,Physician directed care in person,MEDICAL OVERSIGHT
1.1.1.1.4,1,EMS2026-1-1-1-1-4-04,269,Telemedicine For A High-Risk Refusal,uncovered50_v3_source_hardened,Telemedicine,MEDICAL OVERSIGHT
1.1.1.2.1,1,EMS2026-1-1-1-2-1-06,224,Protocol Rollout Quality Loop,second50_qi_review,Development of medical protocols,
1.1.1.2.2,2,EMS2026-1-1-1-2-2-02|EMS2026-1-1-1-2-2-01,47|75,CQI Versus QA|QI Versus Discipline For A Process Defect,first50_reviewed_website_push|legacy_locked_priority_superset_100,Quality improvement programs,Medical Oversight
1.1.1.2.3,3,EMS2026-1-1-1-2-3-06|EMS2026-1-1-1-2-3-01|EMS2026-1-1-1-2-3-05,188|201|360,Provider-Initiated Nontransport Oversight|Ambulance Medical Necessity|Safety Evidence For Nontransport Pathways,second50_qi_review|second50_qi_review|primary_doctrine_uncovered100,Determination of medical necessity in the field,MEDICAL OVERSIGHT
1.1.1.3,2,EMS2026-1-1-1-3-05|EMS2026-1-1-1-3-04,238|239,Low-Frequency High-Risk Skill Maintenance|Competency Review Interval,second50_qi_review|second50_qi_review,Assessment of personnel competence and fitness for duty (initial and continued),
1.1.1.4,1,EMS2026-1-1-1-4-07,267,Medical Director Role Boundary And Authority,uncovered50_v3_source_hardened,Medical director qualifications,MEDICAL OVERSIGHT
1.1.2.1,2,EMS2026-1-1-2-1-02|EMS2026-1-1-2-1-06,131|137,Public Duty Versus Special Duty|Capacity Versus Competence,legacy_locked_priority_superset_100|legacy_locked_priority_superset_100,Definition of a patient,
1.1.2.2,1,EMS2026-1-1-2-2-09,229,Human Trafficking Training Package,second50_qi_review,Mandatory reporting,
1.1.2.3,2,EMS2026-1-1-2-3-03|EMS2026-1-1-2-3-06,213|226,NAEMSP TOR Protocol Support|POLST Across Settings,second50_qi_review|second50_qi_review,Determination and/or pronouncement of death,
1.1.2.4.1,1,EMS2026-1-1-2-4-1-05,279,Meaningful Online Oversight For Refusal,uncovered50_v3_source_hardened,Informed consent and informed refusal,MEDICAL OVERSIGHT
1.1.2.4.2,1,EMS2026-1-1-2-4-2-03,136,Capacity Defect In A Refusal,legacy_locked_priority_superset_100,Difference between capacity and competence,
1.1.2.5,1,EMS2026-1-1-2-5-03,16,Abandonment And Inadequate Assessment,first50_reviewed_website_push,Patient abandonment,Medical Oversight
1.1.2.6,1,EMS2026-1-1-2-6-05,257,Due Process Thresholds After Practice Restriction,uncovered50_v3_source_hardened,Due process,MEDICAL OVERSIGHT
1.1.2.7,1,EMS2026-1-1-2-7-06,88,Risk Management Applied To Crashes,legacy_locked_priority_superset_100,Risk management,
1.2.1,1,EMS2026-1-2-1-07,273,All-Caller Interrogation Before Chief-Complaint Script,uncovered50_v3_source_hardened,Public Safety Answering Points,EMS SYSTEMS
1.2.2.1,1,EMS2026-1-2-2-1-05,283,Agonal Breathing As A Dispatch Failure Mode,uncovered50_v3_source_hardened,Pre-arrival instructions,EMS SYSTEMS
1.2.2.2,1,EMS2026-1-2-2-2-05,278,"Same Dispatch Code, Different Local Response",uncovered50_v3_source_hardened,"Prioritization of response (e.g., determining local needs based on local resources)",EMS SYSTEMS
1.2.2.3,1,EMS2026-1-2-2-3-05,250,Determinants That Matter Only If Response Changes,uncovered50_v3_source_hardened,Tiered response,EMS SYSTEMS
1.2.2.4,1,EMS2026-1-2-2-4-04,202,EMAC Mutual Aid Function,second50_qi_review,Mutual aid response,
1.2.3,1,EMS2026-1-2-3-07,275,Lights-And-Siren Reassessment With Wake-Effect Risk,uncovered50_v3_source_hardened,Use of Lights and Siren,EMS SYSTEMS
1.2.4.1,1,EMS2026-1-2-4-1-05,242,Vehicle Capability Versus Ambulance Count,uncovered50_v3_source_hardened,Response and transport vehicles,EMS SYSTEMS
1.2.4.2,2,EMS2026-1-2-4-2-01|EMS2026-1-2-4-2-06,98|361,National EMS Clinician Levels|Licensure After National Certification,legacy_locked_priority_superset_100|primary_doctrine_uncovered100,"EMS clinician levels (EMR, EMT, AEMT, Paramedic)",EMS SYSTEMS
1.2.4.3,2,EMS2026-1-2-4-3-06|EMS2026-1-2-4-3-02,337|362,Public Utility Model Distinguishing Feature|Choosing An EMS Delivery Model,primary_doctrine_uncovered100|primary_doctrine_uncovered100,Service delivery models,EMS SYSTEMS
1.2.4.4,1,EMS2026-1-2-4-4-02,301,Monitor Procurement Lifecycle Assessment,primary_doctrine_uncovered100,Equipment design and supply issues,EMS SYSTEMS
1.2.5.1,1,EMS2026-1-2-5-1-02,372,Urban Overlap And Coordination,primary_doctrine_uncovered100,Urban EMS,EMS SYSTEMS
1.2.5.10,1,EMS2026-1-2-5-10-02,348,Tribal EMS Workload Accounting,primary_doctrine_uncovered100,Tribal EMS,EMS SYSTEMS
1.2.5.11,1,EMS2026-1-2-5-11-02,320,Physician-Staffed International EMS Model,primary_doctrine_uncovered100,International EMS,EMS SYSTEMS
1.2.5.12,1,EMS2026-1-2-5-12-01,237,In-Flight Chest Pain Coordination,second50_qi_review,"Airline, cruise ship, and resort medical support",
1.2.5.2,1,EMS2026-1-2-5-2-02,388,Suburban First Response Design,primary_doctrine_uncovered100,Suburban EMS,EMS SYSTEMS
1.2.5.3,1,EMS2026-1-2-5-3-01,375,Rural Ambulance Coverage Tradeoff,primary_doctrine_uncovered100,Rural and frontier EMS,EMS SYSTEMS
1.2.5.4,1,EMS2026-1-2-5-4-05,205,Wilderness Protocol Difference,second50_qi_review,Wilderness EMS,
1.2.5.5,1,EMS2026-1-2-5-5-02,344,Volunteer System Outgrowing Capacity,primary_doctrine_uncovered100,Volunteer EMS,EMS SYSTEMS
1.2.5.6,1,EMS2026-1-2-5-6-03,133,Interfacility Transport Responsibility,legacy_locked_priority_superset_100,Inter-facility transport,
1.2.5.7,2,EMS2026-1-2-5-7-02|EMS2026-1-2-5-7-01,317|384,Military Medic Transition To Civilian EMS|Helicopter Emergency Medical Services Origins,primary_doctrine_uncovered100|primary_doctrine_uncovered100,Military EMS,EMS SYSTEMS
1.2.5.8,1,EMS2026-1-2-5-8-06,152,Burn Transport Airway Before Departure,legacy_locked_priority_superset_100,Critical care and specialty care transport,
