question_number,pilot_id,core_content_code,title,correct_answer,option_only_solvable_flag,option_only_reasons,implausible_distractor_count,high_quality_distractor_count,distractor_authenticity_pass,rewrite_recommended,recommended_rescue_structure,distractor_flags_by_letter
51,WEBX100-051,2.1.1.2,Refractory Arrest Transport Capability,C,False,,0,2,True,False,,"{""A"": ""absolute_term;brittle_absolute_without_boundary"", ""B"": ""absolute_term"", ""D"": ""absolute_term""}"
52,WEBX100-052,2.3.13.2.1,Heat Exhaustion Versus Heat Stroke,D,False,,0,2,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": ""absolute_term;no_real_action_term_info;brittle_absolute_without_boundary""}"
53,WEBX100-053,2.1.1.4,TOR Family Acceptability,A,False,,0,3,True,False,,"{""B"": """", ""C"": """", ""D"": ""borderline_absolute_term""}"
54,WEBX100-054,2.1.1.6,POLST As Actionable Orders,B,False,,0,2,True,False,,"{""A"": ""no_real_action_term_info"", ""C"": ""absolute_term;borderline_absolute_term;no_real_action_term_info;brittle_absolute_without_boundary"", ""D"": ""absolute_term;borderline_absolute_term;no_real_action_term_info;low_domain_overlap""}"
55,WEBX100-055,2.3.1.2,Capnography For Ventilation Monitoring,C,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""borderline_absolute_term;no_real_action_term_info"", ""D"": """"}"
56,WEBX100-056,2.3.2.6.1,IABP Transport Precheck,D,False,,0,3,True,False,,"{""A"": ""borderline_absolute_term;no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": """"}"
57,WEBX100-057,1.1.1.2.3,Provider-Initiated Nontransport Oversight,A,False,,0,2,True,False,,"{""B"": ""no_real_action_term_info"", ""C"": ""borderline_absolute_term"", ""D"": ""multiple_absolute_terms;no_real_action_term_info;brittle_absolute_without_boundary""}"
58,WEBX100-058,2.3.7.3.4,Uterine Atony Recognition,B,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
59,WEBX100-059,4.7.6.2,In-Home MIH With Transport Backup,C,False,,0,3,True,False,,"{""A"": """", ""B"": """", ""D"": ""no_real_action_term_info""}"
60,WEBX100-060,1.4.4.1,Certified Stroke Center With Operational Lapses,C,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""D"": """"}"
61,WEBX100-061,2.2.3.1,Spinal Motion Restriction Indication,A,False,,0,2,True,False,,"{""B"": ""no_real_action_term_info"", ""C"": ""borderline_absolute_term"", ""D"": ""multiple_absolute_terms;low_domain_overlap;brittle_absolute_without_boundary""}"
62,WEBX100-062,2.3.11.6.2,Ryan White Infection Control Structure,B,False,,0,3,True,False,,"{""A"": ""borderline_absolute_term;no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info""}"
63,WEBX100-063,1.5.1,Patient Condition Language,C,False,,0,2,True,False,,"{""A"": ""absolute_term;no_real_action_term_info;brittle_absolute_without_boundary"", ""B"": ""no_real_action_term_info"", ""D"": ""no_real_action_term_info;low_domain_overlap""}"
64,WEBX100-064,2.3.13.3.1,High-Altitude Cerebral Edema Temporizing Medication,D,False,,0,3,True,False,,"{""A"": ""no_real_action_term_info"", ""B"": ""no_real_action_term_info"", ""C"": ""no_real_action_term_info""}"
65,WEBX100-065,1.3.7,Workforce Equity Intervention Package,A,False,,0,3,True,False,,"{""B"": ""no_real_action_term_info"", ""C"": """", ""D"": ""no_real_action_term_info""}"
66,WEBX100-066,4.6.2.2,Impaled Object During Wilderness Evacuation,B,False,,0,3,True,False,,"{""A"": ""borderline_absolute_term;no_real_action_term_info"", ""C"": ""no_real_action_term_info"", ""D"": ""borderline_absolute_term;no_real_action_term_info""}"
