question_number,pilot_id,core_content_code,title,correct_answer,option_letter,option_text,heuristic_authenticity_score,deterministic_flags,nearby_correct_scenario_required,nearby_correct_scenario_note,temptation_note,audit_prompt
51,WEBX100-051,2.1.1.2,Refractory Arrest Transport Capability,C,A,"Transport is reasonable if the receiving center offers catheterization, targeted temperature management, or extracorporeal support for all refractory arrests.",1,absolute_term;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
51,WEBX100-051,2.1.1.2,Refractory Arrest Transport Capability,C,B,"Remain on scene unless return of spontaneous circulation occurs, because ongoing resuscitation during transport is never justified.",2,absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
51,WEBX100-051,2.1.1.2,Refractory Arrest Transport Capability,C,D,"Transport every refractory ventricular fibrillation arrest, even when the receiving hospital has no special pathway or acceptance process.",2,absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
52,WEBX100-052,2.3.13.2.1,Heat Exhaustion Versus Heat Stroke,D,A,"Sweating excludes heat stroke, so both patients have heat exhaustion.",2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
52,WEBX100-052,2.3.13.2.1,Heat Exhaustion Versus Heat Stroke,D,B,Gastrointestinal symptoms prove heat stroke even when mental status is normal.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
52,WEBX100-052,2.3.13.2.1,Heat Exhaustion Versus Heat Stroke,D,C,Core temperature is unnecessary because symptoms alone separate all heat illness categories.,1,absolute_term;no_real_action_term_info;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
53,WEBX100-053,2.1.1.4,TOR Family Acceptability,A,B,"Continue transport for most arrests when family is present, reserving field termination for scenes without relatives.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
53,WEBX100-053,2.1.1.4,TOR Family Acceptability,A,C,"Ask family whether to terminate, then treat their preference as the main criterion for stopping resuscitation.",2,,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
53,WEBX100-053,2.1.1.4,TOR Family Acceptability,A,D,Use field termination only after transport risk becomes obvious to the crew during loading.,2,borderline_absolute_term,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
54,WEBX100-054,2.1.1.6,POLST As Actionable Orders,B,A,It is a patient education handout that helps families discuss preferences but does not guide EMS actions.,2,no_real_action_term_info,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
54,WEBX100-054,2.1.1.6,POLST As Actionable Orders,B,C,It applies only after hospital admission because EMS cannot act on medical orders from long-term care.,1,absolute_term;borderline_absolute_term;no_real_action_term_info;brittle_absolute_without_boundary,yes,,,Needs expert check: make the nearby-correct scenario explicit or rewrite closer to the key.
54,WEBX100-054,2.1.1.6,POLST As Actionable Orders,B,D,It is valid only if the patient verbally repeats every preference during the EMS encounter.,2,absolute_term;borderline_absolute_term;no_real_action_term_info;low_domain_overlap,yes,,,Document why this is tempting and the nearby scenario where it would be correct.
